placename,want,wanting,longitude,latitude
Ayr,0.9877828,0.0122171725, -4.6291790,55.45856
Dumbarton,0.9903630,0.0096369579, -4.5645540,55.94529
Bude,0.9980247,0.0019752974, -4.5436780,50.82664
Isle of Man,0.9905730,0.0094269706, -4.5126331,54.27697
Kilmarnock,0.9879887,0.0120112637, -4.4987920,55.61472
Newton Stewart,0.9874900,0.0125099621, -4.4831640,54.96030
Liskeard,0.9973886,0.0026113541, -4.4647190,50.45552
Altnaharra,0.9928896,0.0071104140, -4.4426550,58.28023
Pwllheli,0.9956961,0.0043039390, -4.4176339,52.88882
Lairg,0.9931101,0.0068899403, -4.4024140,58.02206
Launceston,0.9978368,0.0021631932, -4.3604516,50.63683
Carmarthen,0.9986924,0.0013075694, -4.3121310,51.85762
Llangefni,0.9941498,0.0058501755, -4.3114020,53.25579
Caernarfon,0.9947048,0.0052951678, -4.2739110,53.13955
Cumnock,0.9882760,0.0117240179, -4.2658289,55.45355
Aberaeron,0.9982837,0.0017163173, -4.2581619,52.24279
Alness,0.9929127,0.0070872538, -4.2568250,57.69595
Glasgow,0.9914944,0.0085056472, -4.2518060,55.86424
Dalwhinnie,0.9922588,0.0077412292, -4.2427830,56.93660
Inverness,0.9934455,0.0065544518, -4.2247210,57.47777
Saltash,0.9980059,0.0019940717, -4.2164300,50.40921
Bideford,0.9986318,0.0013682074, -4.2066660,51.01668
Invergordon,0.9929157,0.0070843432, -4.1728820,57.68811
Llanelli,0.9986450,0.0013550136, -4.1602480,51.68089
Plymouth,0.9980282,0.0019717559, -4.1426565,50.37546
Tavistock,0.9978293,0.0021707287, -4.1416540,50.55112
Porthmadog,0.9955571,0.0044429354, -4.1333840,52.92784
Bangor,0.9941305,0.0058695456, -4.1292630,53.22739
Tywyn,0.9972072,0.0027928049, -4.0872490,52.58701
Aberystwyth,0.9978891,0.0021108710, -4.0829200,52.41530
Lampeter,0.9981274,0.0018725861, -4.0785090,52.11290
Barnstaple,0.9986506,0.0013493759, -4.0583380,51.07816
Tain,0.9930570,0.0069429834, -4.0552300,57.81150
Okehampton,0.9979465,0.0020534535, -4.0042630,50.73831
Llandeilo,0.9983717,0.0016283430, -3.9914300,51.88469
Motherwell,0.9910202,0.0089798376, -3.9810968,55.78321
Golspie,0.9931015,0.0068984604, -3.9760860,57.97341
Airdrie,0.9886086,0.0113914275, -3.9625660,55.86627
Swansea,0.9982966,0.0017033543, -3.9436460,51.62144
Stirling,0.9882345,0.0117655083, -3.9369029,56.11652
Tregaron,0.9977183,0.0022816942, -3.9343850,52.22000
Tregaron,0.9977183,0.0022816942, -3.9343850,52.22000
Castle Douglas,0.9870906,0.0129094167, -3.9314140,54.94042
Dolgellau,0.9972385,0.0027615268, -3.8844000,52.74215
Aberfeldy,0.9922054,0.0077946180, -3.8669690,56.62175
Machynlleth,0.9977505,0.0022494778, -3.8534850,52.59027
Brora,0.9931069,0.0068931025, -3.8525480,58.01216
Llandudno,0.9961885,0.0038114867, -3.8276090,53.32406
Llandudno,0.9961885,0.0038114867, -3.8276090,53.32406
Aviemore,0.9944209,0.0055790972, -3.8238120,57.19449
Dalbeattie,0.9876772,0.0123228245, -3.8225270,54.93422
Falkirk,0.9879704,0.0120296340, -3.7839131,56.00188
Kingsbridge,0.9979538,0.0020462058, -3.7774930,50.28395
Pitlochry,0.9901823,0.0098177238, -3.7297110,56.70436
Colwyn Bay,0.9950805,0.0049194665, -3.7276400,53.29318
Totnes,0.9979929,0.0020071021, -3.6857970,50.43374
Grantown-on-Spey,0.9925605,0.0074395249, -3.6096280,57.33041
Dumfries,0.9869774,0.0130225636, -3.6051200,55.07086
Whitehaven,0.9888031,0.0111968570, -3.5892330,54.54970
Dartmouth,0.9979919,0.0020081355, -3.5788070,50.35252
Bridgend,0.9984728,0.0015272033, -3.5769450,51.50429
Paignton,0.9979877,0.0020122801, -3.5642350,50.43508
Workington,0.9888780,0.0111220287, -3.5427520,54.64357
Llanidloes,0.9976146,0.0023854149, -3.5401950,52.44779
Exeter,0.9988583,0.0011416611, -3.5338990,50.71841
Torquay,0.9979840,0.0020160248, -3.5253150,50.46192
Thurso,0.9924857,0.0075143495, -3.5220800,58.59357
Livingston,0.9889032,0.0110968266, -3.5180680,55.90071
Rhyl,0.9958706,0.0041293797, -3.4916340,53.31914
Tiverton,0.9988421,0.0011578789, -3.4912070,50.90205
Tiverton,0.9988421,0.0011578789, -3.4912070,50.90205
Minehead,0.9984638,0.0015362000, -3.4811520,51.20428
Dunfermline,0.9891337,0.0108662777, -3.4521510,56.07174
Perth,0.9872071,0.0127929478, -3.4308381,56.39499
Prestatyn,0.9957841,0.0042158785, -3.4076130,53.33651
Builth Wells,0.9995390,0.0004609711, -3.4045920,52.15002
Braemar,0.9905277,0.0094722598, -3.3979439,57.00647
Brecon,0.9983790,0.0016210375, -3.3914630,51.94895
Merthyr Tydfil,0.9984081,0.0015918739, -3.3816460,51.74873
Llandrindod Wells,0.9984833,0.0015166835, -3.3777420,52.24170
Corwen,0.9950236,0.0049764448, -3.3692420,52.98005
Cockermouth,0.9882854,0.0117145662, -3.3679850,54.66326
Lockerbie,0.9877011,0.0122988744, -3.3490080,55.12224
Blairgowrie,0.9887216,0.0112783887, -3.3378318,56.58941
Elgin,0.9930121,0.0069878531, -3.3184850,57.64945
Newtown,0.9971077,0.0028923168, -3.3131060,52.51211
Ruthin,0.9950472,0.0049527892, -3.3103108,53.11487
Ruthin,0.9950472,0.0049527892, -3.3103108,53.11487
Sidmouth,0.9989013,0.0010987250, -3.2375600,50.67865
Barrow-in-Furness,0.9933208,0.0066791568, -3.2188940,54.10897
Peebles,0.9897676,0.0102323598, -3.1936420,55.65307
Edinburgh,0.9896189,0.0103810678, -3.1882670,55.95325
Cardiff,0.9984236,0.0015763745, -3.1790900,51.48158
Llangollen,0.9951216,0.0048783599, -3.1716600,52.96921
Kirkcaldy,0.9890143,0.0109856762, -3.1581370,56.11682
Welshpool,0.9964226,0.0035774497, -3.1464070,52.66035
Mold,0.9958163,0.0041837240, -3.1419030,53.16720
Mold,0.9958163,0.0041837240, -3.1419030,53.16720
Taunton,0.9982956,0.0017044163, -3.1068490,51.01534
Wick,0.9924745,0.0075254628, -3.0937160,58.43894
John o' Groats,0.9924413,0.0075586976, -3.0688997,58.63734
Dalkeith,0.9899986,0.0100013864, -3.0666060,55.89312
Oswestry,0.9954811,0.0045189081, -3.0564120,52.85715
Blackpool,0.9951918,0.0048082276, -3.0356748,53.81751
Birkenhead,0.9965481,0.0034519220, -3.0230090,53.38999
Cupar,0.9885858,0.0114141633, -3.0101370,56.32023
Southport,0.9970750,0.0029250029, -3.0101130,53.64571
Bridgwater,0.9980766,0.0019234468, -3.0036320,51.12789
Langholm,0.9896007,0.0103992572, -2.9989130,55.15306
Newport,0.9985405,0.0014594625, -2.9976640,51.58415
Axminster,0.9985552,0.0014447561, -2.9949370,50.78273
Wrexham,0.9952327,0.0047673303, -2.9924940,53.04304
Liverpool,0.9965474,0.0034526443, -2.9915726,53.40837
Weston-super-Mare,0.9981523,0.0018477126, -2.9772550,51.34741
Dundee,0.9874117,0.0125883029, -2.9707210,56.46202
Kirkwall,0.9924464,0.0075535655, -2.9622491,58.98467
Ambleside,0.9898835,0.0101164833, -2.9613330,54.42874
Orkney Islands,0.9924464,0.0075535655, -2.9605206,58.98094
Lyme Regis,0.9980537,0.0019463177, -2.9366390,50.72516
Carlisle,0.9888112,0.0111888230, -2.9329310,54.89247
Chester,0.9952287,0.0047712893, -2.8930750,53.19339
Forfar,0.9871671,0.0128328742, -2.8890620,56.64356
Morecambe,0.9931838,0.0068161989, -2.8649680,54.07417
Selkirk,0.9900772,0.0099228225, -2.8385240,55.55066
Galashiels,0.9896413,0.0103587355, -2.8144490,55.62373
Lancaster,0.9941880,0.0058120151, -2.8007399,54.04657
St Andrews,0.9874184,0.0125816446, -2.7967214,56.33978
Hawick,0.9879901,0.0120098871, -2.7809140,55.42706
Bridport,0.9978242,0.0021758293, -2.7583010,50.73358
Shrewsbury,0.9965410,0.0034589873, -2.7553268,52.70730
Penrith,0.9875370,0.0124630254, -2.7527080,54.66410
Kendal,0.9906885,0.0093114556, -2.7462900,54.32801
Street,0.9972363,0.0027636694, -2.7429190,51.12468
Glastonbury,0.9976245,0.0023754850, -2.7184540,51.14743
Hereford,0.9972180,0.0027820049, -2.7159740,52.05640
Ludlow,0.9976418,0.0023582434, -2.7139129,52.36775
Preston,0.9960293,0.0039707050, -2.7030900,53.76320
Whitchurch,0.9955011,0.0044989332, -2.6820450,52.96872
Wells,0.9975411,0.0024589108, -2.6445979,51.20935
Yeovil,0.9968508,0.0031492235, -2.6333080,50.94206
Wigan,0.9955951,0.0044048883, -2.6325074,53.54506
Warrington,0.9955975,0.0044024938, -2.5969501,53.39004
Arbroath,0.9873062,0.0126937816, -2.5915430,56.55911
Bristol,0.9974421,0.0025578563, -2.5879100,51.45451
Guernsey,0.9966411,0.0033589280, -2.5852780,49.46569
Ross-on-Wye,0.9976419,0.0023580786, -2.5824460,51.91445
Jedburgh,0.9899912,0.0100087577, -2.5549369,55.47772
Sedbergh,0.9900694,0.0099305788, -2.5281740,54.32363
Sedbergh,0.9900694,0.0099305788, -2.5281740,54.32363
Nantwich,0.9958321,0.0041678797, -2.5241020,53.06719
Banff,0.9898802,0.0101198169, -2.5240380,57.66651
Dunbar,0.9895348,0.0104651965, -2.5167370,56.00209
Cinderford,0.9981936,0.0018063918, -2.5009579,51.82530
Banchory,0.9884329,0.0115671124, -2.4909599,57.05386
Blackburn,0.9959411,0.0040588828, -2.4875290,53.74858
Market Drayton,0.9958465,0.0041535111, -2.4834850,52.90355
Telford,0.9964296,0.0035703781, -2.4672611,52.67759
Montrose,0.9890202,0.0109797780, -2.4661150,56.70692
Turriff,0.9892885,0.0107114768, -2.4623000,57.53893
Weymouth,0.9962301,0.0037698717, -2.4576210,50.61443
Crewe,0.9960409,0.0039591387, -2.4438209,53.10041
Fortuneswell,0.9964808,0.0035192342, -2.4422190,50.55919
Dorchester,0.9961754,0.0038246124, -2.4411810,50.71116
Alston,0.9874385,0.0125615032, -2.4386850,54.81217
Kelso,0.9886941,0.0113059409, -2.4322070,55.60003
Wincanton,0.9965267,0.0034733380, -2.4160070,51.05569
Clitheroe,0.9960596,0.0039403535, -2.3930830,53.87110
Sark,0.9964922,0.0035078044, -2.3666256,49.43007
Bath,0.9973562,0.0026438188, -2.3590167,51.38106
Kidderminster,0.9978694,0.0021306386, -2.2496839,52.38860
Manchester,0.9960116,0.0039884000, -2.2426305,53.48076
Burnley,0.9963701,0.0036299420, -2.2405035,53.78929
Gloucester,0.9968719,0.0031281168, -2.2381560,51.86424
Newcastle-under-Lyme,0.9962064,0.0037935664, -2.2273002,53.01321
Worcester,0.9965269,0.0034731267, -2.2215750,52.19364
Trowbridge,0.9965752,0.0034248437, -2.2088530,51.31966
Shaftesbury,0.9957131,0.0042869391, -2.1980830,51.00460
Alderney,0.9965481,0.0034518651, -2.1973557,49.71500
Stoke-on-Trent,0.9962396,0.0037604378, -2.1794040,53.00267
Colne,0.9947332,0.0052668399, -2.1769910,53.85564
Blandford Forum,0.9962100,0.0037899904, -2.1653530,50.85691
Rochdale,0.9959140,0.0040860269, -2.1561000,53.60971
Jersey,0.9962101,0.0037898705, -2.1312500,49.21444
Wolverhampton,0.9980586,0.0019414059, -2.1288200,52.58697
Stafford,0.9967373,0.0032626521, -2.1206600,52.80669
Macclesfield,0.9958922,0.0041078384, -2.1192870,53.25866
Hexham,0.9926557,0.0073443334, -2.1121439,54.97266
Aberdeen,0.9886740,0.0113260316, -2.0942780,57.14972
Dudley,0.9981030,0.0018969646, -2.0811120,52.51226
Cheltenham,0.9968289,0.0031711047, -2.0782533,51.89939
Bromsgrove,0.9982430,0.0017570014, -2.0619060,52.33559
Skipton,0.9876623,0.0123377388, -2.0162787,53.96285
Fraserburgh,0.9893402,0.0106597814, -2.0076310,57.69335
Berwick,0.9895819,0.0104181481, -2.0053950,55.77024
Poole,0.9961150,0.0038850358, -1.9872480,50.71505
Walsall,0.9982482,0.0017518260, -1.9829190,52.58621
Cirencester,0.9975108,0.0024891571, -1.9682430,51.71849
Evesham,0.9968447,0.0031552518, -1.9467700,52.09215
Buxton,0.9954862,0.0045138425, -1.9148300,53.25908
Keighley,0.9857283,0.0142716804, -1.9123580,53.86780
Birmingham,0.9979373,0.0020627093, -1.8904010,52.48624
Bournemouth,0.9961934,0.0038065676, -1.8807690,50.71916
Halifax,0.9857602,0.0142398150, -1.8575400,53.72702
Salisbury,0.9961495,0.0038505316, -1.7944720,51.06878
Ringwood,0.9964283,0.0035716925, -1.7888170,50.84495
Huddersfield,0.9854365,0.0145635168, -1.7850351,53.64579
Peterhead,0.9891534,0.0108466195, -1.7840660,57.50812
Swindon,0.9963367,0.0036633310, -1.7797176,51.55577
Bradford,0.9865853,0.0134147354, -1.7593980,53.79598
Ashbourne,0.9957690,0.0042309947, -1.7321790,53.01663
Marlborough,0.9966921,0.0033078506, -1.7270620,51.42007
Stratford-upon-Avon,0.9979996,0.0020004401, -1.7082980,52.19173
Alnwick,0.9943246,0.0056754204, -1.7062990,55.41274
Otley,0.9870482,0.0129517976, -1.6917860,53.90583
Bishop Auckland,0.9900969,0.0099031372, -1.6787880,54.66382
Burton upon Trent,0.9962095,0.0037905377, -1.6371359,52.81403
Newcastle,0.9938137,0.0061863260, -1.6177800,54.97825
Durham,0.9907688,0.0092311637, -1.5848520,54.77525
Ashington,0.9942170,0.0057830288, -1.5659829,55.18298
Darlington,0.9888523,0.0111476802, -1.5594580,54.52361
Leeds,0.9858958,0.0141041515, -1.5490774,53.80076
Harrogate,0.9879881,0.0120118892, -1.5418120,53.99212
Leamington Spa,0.9989461,0.0010538703, -1.5200789,52.28519
Coventry,0.9986488,0.0013511637, -1.5196930,52.40682
Blyth,0.9941227,0.0058772729, -1.5102770,55.12696
Wakefield,0.9846631,0.0153368853, -1.5059240,53.68330
Andover,0.9963588,0.0036411793, -1.4919233,51.21120
Witney,0.9972408,0.0027591856, -1.4850544,51.78594
Barnsley,0.9830447,0.0169552555, -1.4797260,53.55263
Derby,0.9955186,0.0044814022, -1.4746186,52.92253
Sheffield,0.9848861,0.0151138675, -1.4700850,53.38113
Nuneaton,0.9985554,0.0014446073, -1.4653820,52.52049
Northallerton,0.9884829,0.0115171235, -1.4299590,54.33796
South Shields,0.9937347,0.0062653365, -1.4274060,54.99942
Chesterfield,0.9874886,0.0125114493, -1.4216290,53.23505
Southampton,0.9964085,0.0035915008, -1.4043509,50.90970
Wetherby,0.9874224,0.0125776440, -1.3848160,53.92706
Sunderland,0.9932181,0.0067819081, -1.3838010,54.90687
Rotherham,0.9836794,0.0163206249, -1.3635009,53.43260
Castleford,0.9864928,0.0135071857, -1.3459680,53.72347
Thirsk,0.9891596,0.0108403639, -1.3413770,54.23385
Banbury,0.9970075,0.0029924538, -1.3397750,52.06290
Stockton,0.9891273,0.0108726549, -1.3289821,54.57046
Newbury,0.9952459,0.0047541489, -1.3231139,51.40141
Isle of Wight,0.9961297,0.0038702617, -1.3047340,50.69385
Isle of Wight,0.9961297,0.0038702617, -1.3047340,50.69385
Abingdon,0.9971777,0.0028222794, -1.2879529,51.67078
Shetland Islands,0.9903217,0.0096782994, -1.2659409,60.52965
Rugby,0.9991583,0.0008417115, -1.2650320,52.37088
Oxford,0.9972116,0.0027884047, -1.2577263,51.75202
Middlesbrough,0.9890608,0.0109392148, -1.2349560,54.57423
Hartlepool,0.9894391,0.0105609418, -1.2129260,54.69174
Loughborough,0.9962871,0.0037129118, -1.2061660,52.77210
Mansfield,0.9903192,0.0096807824, -1.1986740,53.14720
Nottingham,0.9952328,0.0047671808, -1.1581086,52.95478
Bicester,0.9974294,0.0025706086, -1.1535899,51.89960
Leicester,0.9962616,0.0037383601, -1.1397592,52.63688
Doncaster,0.9780533,0.0219467307, -1.1284620,53.52282
Worksop,0.9851067,0.0148932741, -1.1227450,53.30930
Basingstoke,0.9971412,0.0028587764, -1.0923964,51.26654
Portsmouth,0.9960296,0.0039704297, -1.0879769,50.81977
York,0.9875097,0.0124903442, -1.0872979,53.95997
Selby,0.9868268,0.0131731887, -1.0671890,53.78352
Helmsley,0.9876895,0.0123105088, -1.0562636,54.24651
Towcester,0.9969122,0.0030878461, -0.9896880,52.13511
Reading,0.9986537,0.0013462503, -0.9781303,51.45426
Retford,0.9855866,0.0144134334, -0.9455030,53.32136
Petersfield,0.9967742,0.0032258065, -0.9389900,51.00759
Northampton,0.9966742,0.0033258215, -0.9026560,52.24048
Melton Mowbray,0.9955286,0.0044713630, -0.8871260,52.76640
Aylesbury,0.9981651,0.0018348624, -0.8084000,51.81561
Newark-on-Trent,0.9949746,0.0050253766, -0.8065700,53.07004
Malton,0.9884678,0.0115322486, -0.7978970,54.13684
Chichester,0.9956830,0.0043169831, -0.7749360,50.83761
Gainsborough,0.9889563,0.0110437089, -0.7744650,53.40058
Milton Keynes,0.9969164,0.0030836078, -0.7594171,52.04062
Aldershot,0.9969036,0.0030964146, -0.7557509,51.24837
High Wycombe,0.9996949,0.0003051106, -0.7482290,51.62861
Midhurst,0.9959562,0.0040437633, -0.7372740,50.98690
Kettering,0.9967850,0.0032150334, -0.7302490,52.39632
Wellingborough,0.9970806,0.0029194239, -0.6939640,52.30242
Corby,0.9966398,0.0033602151, -0.6842333,52.49230
Bognor Regis,0.9960789,0.0039210765, -0.6730610,50.78300
Scunthorpe,0.9886696,0.0113303682, -0.6544130,53.58865
Grantham,0.9955869,0.0044131310, -0.6435820,52.91252
Whitby,0.9873213,0.0126787266, -0.6133470,54.48633
Slough,0.9984393,0.0015607406, -0.5950406,51.51054
Guildford,0.9967539,0.0032461384, -0.5704090,51.23622
Woking,0.9967980,0.0032019586, -0.5600349,51.31677
Lincoln,0.9951254,0.0048745928, -0.5405790,53.23069
Bedford,0.9958880,0.0041119860, -0.4667782,52.13864
Heathrow,0.9980375,0.0019625365, -0.4542955,51.47002
Driffield,0.9897211,0.0102789245, -0.4433770,54.00600
Beverley,0.9921955,0.0078045457, -0.4350930,53.84196
Luton,0.9979176,0.0020823820, -0.4200255,51.87867
Scarborough,0.9898314,0.0101686273, -0.3997520,54.28311
Worthing,0.9970773,0.0029226605, -0.3728820,50.81787
Dorking,0.9980274,0.0019725595, -0.3323780,51.23220
Hull,0.9918882,0.0081117776, -0.3274198,53.76762
Horsham,0.9955770,0.0044230012, -0.3258580,51.06288
Biggleswade,0.9966204,0.0033796262, -0.2642200,52.08694
Peterborough,0.9964911,0.0035088828, -0.2405299,52.56950
Welwyn Garden City,0.9974986,0.0025014249, -0.2086610,51.80317
Bridlington,0.9911426,0.0088574120, -0.1988020,54.08535
Stevenage,0.9976330,0.0023670128, -0.1966120,51.90376
Crawley,0.9972402,0.0027598383, -0.1872275,51.10914
Huntingdon,0.9975263,0.0024736530, -0.1825520,52.33146
Hove,0.9970711,0.0029288918, -0.1687490,50.82793
Spalding,0.9946907,0.0053092940, -0.1537024,52.79010
Brighton,0.9969820,0.0030180087, -0.1371630,50.82253
London,0.9983136,0.0016864457, -0.1277583,51.50735
Grimsby,0.9939169,0.0060831341, -0.0807840,53.56747
Boston,0.9946219,0.0053781126, -0.0265770,52.97894
Royston,0.9981000,0.0018999979, -0.0240660,52.04814
Louth_Lincs,0.9939990,0.0060010203, -0.0077110,53.36596
Lewes,0.9975745,0.0024254766,  0.0087800,50.87387
Chatteris,0.9971530,0.0028469751,  0.0540120,52.45610
Uckfield,0.9974895,0.0025105495,  0.0959130,50.96641
Cambridge,0.9985582,0.0014418433,  0.1218170,52.20534
Bishop's Stortford,0.9977339,0.0022660624,  0.1536502,51.87216
Wisbech,0.9948042,0.0051957639,  0.1587970,52.66632
Sevenoaks,0.9986574,0.0013425822,  0.1908980,51.27241
Tunbridge Wells,0.9979859,0.0020140807,  0.2636950,51.13238
Eastbourne,0.9976277,0.0023723415,  0.2904720,50.76803
Brentwood,0.9973399,0.0026600527,  0.3071749,51.62047
Skegness,0.9943921,0.0056079011,  0.3378810,53.14640
Downham Market,0.9969432,0.0030567883,  0.3854720,52.60661
King's Lynn,0.9959794,0.0040205903,  0.4022963,52.75168
Bexhill,0.9978147,0.0021853462,  0.4662071,50.84991
Chelmsford,0.9973117,0.0026882517,  0.4685497,51.73559
Mildenhall,0.9980696,0.0019303908,  0.5156095,52.34757
Medway,0.9968983,0.0031017434,  0.5417861,51.40474
Braintree,0.9987837,0.0012162794,  0.5509269,51.88009
Gillingham,0.9970032,0.0029967889,  0.5514380,51.38632
Hastings,0.9980198,0.0019801958,  0.5734530,50.85426
Maldon,0.9973417,0.0026582599,  0.6714480,51.73181
Southend,0.9973390,0.0026610387,  0.7077123,51.54593
Bury St Edmunds,0.9986800,0.0013200449,  0.7104932,52.24292
Thetford,0.9985439,0.0014560953,  0.7516570,52.41286
Ashford,0.9968849,0.0031151192,  0.8750190,51.14647
Faversham,0.9972201,0.0027799357,  0.8893580,51.31599
Colchester,0.9984975,0.0015025151,  0.8918740,51.89593
New Romney,0.9976729,0.0023270659,  0.9394730,50.98512
