placename,might_be_able_to,might_can,might_could,longitude,latitude
Kirkwall,0.9933775,0.0066225166,0.0000000000, -2.9622491,58.98467
Ambleside,1.0000000,0.0000000000,0.0000000000, -2.9613330,54.42874
Orkney Islands,0.9933775,0.0066225166,0.0000000000, -2.9605206,58.98094
Lyme Regis,1.0000000,0.0000000000,0.0000000000, -2.9366390,50.72516
Carlisle,0.9885387,0.0114613181,0.0000000000, -2.9329310,54.89247
Chester,1.0000000,0.0000000000,0.0000000000, -2.8930750,53.19339
Forfar,0.9857313,0.0000000000,0.0142687277, -2.8890620,56.64356
Morecambe,1.0000000,0.0000000000,0.0000000000, -2.8649680,54.07417
Selkirk,0.9888320,0.0083759888,0.0027919963, -2.8385240,55.55066
Galashiels,0.9888216,0.0083837913,0.0027945971, -2.8144490,55.62373
Lancaster,1.0000000,0.0000000000,0.0000000000, -2.8007399,54.04657
St Andrews,0.9946092,0.0000000000,0.0053908356, -2.7967214,56.33978
Hawick,0.9836215,0.0163785259,0.0000000000, -2.7809140,55.42706
Bridport,1.0000000,0.0000000000,0.0000000000, -2.7583010,50.73358
Shrewsbury,1.0000000,0.0000000000,0.0000000000, -2.7553268,52.70730
Penrith,1.0000000,0.0000000000,0.0000000000, -2.7527080,54.66410
Kendal,1.0000000,0.0000000000,0.0000000000, -2.7462900,54.32801
Street,1.0000000,0.0000000000,0.0000000000, -2.7429190,51.12468
Glastonbury,1.0000000,0.0000000000,0.0000000000, -2.7184540,51.14743
Hereford,1.0000000,0.0000000000,0.0000000000, -2.7159740,52.05640
Ludlow,1.0000000,0.0000000000,0.0000000000, -2.7139129,52.36775
Preston,1.0000000,0.0000000000,0.0000000000, -2.7030900,53.76320
Whitchurch,1.0000000,0.0000000000,0.0000000000, -2.6820450,52.96872
Wells,0.9980621,0.0019378593,0.0000000000, -2.6445979,51.20935
Yeovil,1.0000000,0.0000000000,0.0000000000, -2.6333080,50.94206
Wigan,1.0000000,0.0000000000,0.0000000000, -2.6325074,53.54506
Warrington,1.0000000,0.0000000000,0.0000000000, -2.5969501,53.39004
Arbroath,0.9852217,0.0000000000,0.0147783251, -2.5915430,56.55911
Bristol,0.9977894,0.0022105961,0.0000000000, -2.5879100,51.45451
Guernsey,1.0000000,0.0000000000,0.0000000000, -2.5852780,49.46569
Ross-on-Wye,1.0000000,0.0000000000,0.0000000000, -2.5824460,51.91445
Jedburgh,0.9748252,0.0251748252,0.0000000000, -2.5549369,55.47772
Sedbergh,1.0000000,0.0000000000,0.0000000000, -2.5281740,54.32363
Sedbergh,1.0000000,0.0000000000,0.0000000000, -2.5281740,54.32363
Nantwich,1.0000000,0.0000000000,0.0000000000, -2.5241020,53.06719
Banff,0.9935484,0.0064516129,0.0000000000, -2.5240380,57.66651
Dunbar,0.9946212,0.0026893770,0.0026893770, -2.5167370,56.00209
Cinderford,1.0000000,0.0000000000,0.0000000000, -2.5009579,51.82530
Banchory,0.9872747,0.0000000000,0.0127253446, -2.4909599,57.05386
Blackburn,1.0000000,0.0000000000,0.0000000000, -2.4875290,53.74858
Market Drayton,1.0000000,0.0000000000,0.0000000000, -2.4834850,52.90355
Telford,1.0000000,0.0000000000,0.0000000000, -2.4672611,52.67759
Montrose,0.9881423,0.0000000000,0.0118577075, -2.4661150,56.70692
Turriff,0.9934211,0.0065789474,0.0000000000, -2.4623000,57.53893
Weymouth,1.0000000,0.0000000000,0.0000000000, -2.4576210,50.61443
Crewe,1.0000000,0.0000000000,0.0000000000, -2.4438209,53.10041
Fortuneswell,1.0000000,0.0000000000,0.0000000000, -2.4422190,50.55919
Dorchester,1.0000000,0.0000000000,0.0000000000, -2.4411810,50.71116
Alston,1.0000000,0.0000000000,0.0000000000, -2.4386850,54.81217
Kelso,0.9918441,0.0081558677,0.0000000000, -2.4322070,55.60003
Wincanton,0.9955621,0.0044378698,0.0000000000, -2.4160070,51.05569
Clitheroe,1.0000000,0.0000000000,0.0000000000, -2.3930830,53.87110
Sark,1.0000000,0.0000000000,0.0000000000, -2.3666256,49.43007
Bath,0.9956651,0.0021674734,0.0021674734, -2.3590167,51.38106
Kidderminster,0.9976645,0.0023355391,0.0000000000, -2.2496839,52.38860
Manchester,0.9986021,0.0013979497,0.0000000000, -2.2426305,53.48076
Burnley,1.0000000,0.0000000000,0.0000000000, -2.2405035,53.78929
Gloucester,1.0000000,0.0000000000,0.0000000000, -2.2381560,51.86424
Newcastle-under-Lyme,1.0000000,0.0000000000,0.0000000000, -2.2273002,53.01321
Worcester,1.0000000,0.0000000000,0.0000000000, -2.2215750,52.19364
Trowbridge,0.9880359,0.0059820538,0.0059820538, -2.2088530,51.31966
Shaftesbury,1.0000000,0.0000000000,0.0000000000, -2.1980830,51.00460
Alderney,1.0000000,0.0000000000,0.0000000000, -2.1973557,49.71500
Stoke-on-Trent,1.0000000,0.0000000000,0.0000000000, -2.1794040,53.00267
Colne,1.0000000,0.0000000000,0.0000000000, -2.1769910,53.85564
Blandford Forum,1.0000000,0.0000000000,0.0000000000, -2.1653530,50.85691
Rochdale,0.9985525,0.0014475271,0.0000000000, -2.1561000,53.60971
Jersey,1.0000000,0.0000000000,0.0000000000, -2.1312500,49.21444
Wolverhampton,0.9976798,0.0023201856,0.0000000000, -2.1288200,52.58697
Stafford,1.0000000,0.0000000000,0.0000000000, -2.1206600,52.80669
Macclesfield,1.0000000,0.0000000000,0.0000000000, -2.1192870,53.25866
Hexham,1.0000000,0.0000000000,0.0000000000, -2.1121439,54.97266
Aberdeen,0.9872747,0.0000000000,0.0127253446, -2.0942780,57.14972
Dudley,0.9980564,0.0019436346,0.0000000000, -2.0811120,52.51226
Cheltenham,1.0000000,0.0000000000,0.0000000000, -2.0782533,51.89939
Bromsgrove,0.9981568,0.0018432047,0.0000000000, -2.0619060,52.33559
Skipton,1.0000000,0.0000000000,0.0000000000, -2.0162787,53.96285
Fraserburgh,0.9935484,0.0064516129,0.0000000000, -2.0076310,57.69335
Berwick,0.9912366,0.0087633885,0.0000000000, -2.0053950,55.77024
Poole,1.0000000,0.0000000000,0.0000000000, -1.9872480,50.71505
Walsall,0.9980526,0.0019474197,0.0000000000, -1.9829190,52.58621
Cirencester,1.0000000,0.0000000000,0.0000000000, -1.9682430,51.71849
Evesham,1.0000000,0.0000000000,0.0000000000, -1.9467700,52.09215
Buxton,1.0000000,0.0000000000,0.0000000000, -1.9148300,53.25908
Keighley,1.0000000,0.0000000000,0.0000000000, -1.9123580,53.86780
Birmingham,0.9979565,0.0020434575,0.0000000000, -1.8904010,52.48624
Bournemouth,1.0000000,0.0000000000,0.0000000000, -1.8807690,50.71916
Halifax,1.0000000,0.0000000000,0.0000000000, -1.8575400,53.72702
Salisbury,0.9921260,0.0078740157,0.0000000000, -1.7944720,51.06878
Ringwood,1.0000000,0.0000000000,0.0000000000, -1.7888170,50.84495
Huddersfield,1.0000000,0.0000000000,0.0000000000, -1.7850351,53.64579
Peterhead,1.0000000,0.0000000000,0.0000000000, -1.7840660,57.50812
Swindon,1.0000000,0.0000000000,0.0000000000, -1.7797176,51.55577
Bradford,1.0000000,0.0000000000,0.0000000000, -1.7593980,53.79598
Ashbourne,1.0000000,0.0000000000,0.0000000000, -1.7321790,53.01663
Marlborough,0.9930556,0.0069444444,0.0000000000, -1.7270620,51.42007
Stratford-upon-Avon,1.0000000,0.0000000000,0.0000000000, -1.7082980,52.19173
Alnwick,1.0000000,0.0000000000,0.0000000000, -1.7062990,55.41274
Otley,1.0000000,0.0000000000,0.0000000000, -1.6917860,53.90583
Bishop Auckland,1.0000000,0.0000000000,0.0000000000, -1.6787880,54.66382
Burton upon Trent,1.0000000,0.0000000000,0.0000000000, -1.6371359,52.81403
Newcastle,1.0000000,0.0000000000,0.0000000000, -1.6177800,54.97825
Durham,1.0000000,0.0000000000,0.0000000000, -1.5848520,54.77525
Ashington,1.0000000,0.0000000000,0.0000000000, -1.5659829,55.18298
Darlington,1.0000000,0.0000000000,0.0000000000, -1.5594580,54.52361
Leeds,1.0000000,0.0000000000,0.0000000000, -1.5490774,53.80076
Harrogate,1.0000000,0.0000000000,0.0000000000, -1.5418120,53.99212
Leamington Spa,1.0000000,0.0000000000,0.0000000000, -1.5200789,52.28519
Coventry,1.0000000,0.0000000000,0.0000000000, -1.5196930,52.40682
Blyth,1.0000000,0.0000000000,0.0000000000, -1.5102770,55.12696
Wakefield,1.0000000,0.0000000000,0.0000000000, -1.5059240,53.68330
Andover,0.9896283,0.0103716508,0.0000000000, -1.4919233,51.21120
Witney,0.9872068,0.0042643923,0.0085287846, -1.4850544,51.78594
Barnsley,1.0000000,0.0000000000,0.0000000000, -1.4797260,53.55263
Derby,0.9971340,0.0028660139,0.0000000000, -1.4746186,52.92253
Sheffield,1.0000000,0.0000000000,0.0000000000, -1.4700850,53.38113
Nuneaton,1.0000000,0.0000000000,0.0000000000, -1.4653820,52.52049
Northallerton,1.0000000,0.0000000000,0.0000000000, -1.4299590,54.33796
South Shields,1.0000000,0.0000000000,0.0000000000, -1.4274060,54.99942
Chesterfield,1.0000000,0.0000000000,0.0000000000, -1.4216290,53.23505
Southampton,0.9967213,0.0032786885,0.0000000000, -1.4043509,50.90970
Wetherby,0.9990450,0.0000000000,0.0009549578, -1.3848160,53.92706
Sunderland,1.0000000,0.0000000000,0.0000000000, -1.3838010,54.90687
Rotherham,1.0000000,0.0000000000,0.0000000000, -1.3635009,53.43260
Castleford,1.0000000,0.0000000000,0.0000000000, -1.3459680,53.72347
Thirsk,0.9981459,0.0000000000,0.0018541409, -1.3413770,54.23385
Banbury,0.9946309,0.0000000000,0.0053691275, -1.3397750,52.06290
Stockton,1.0000000,0.0000000000,0.0000000000, -1.3289821,54.57046
Newbury,0.9897436,0.0051282051,0.0051282051, -1.3231139,51.40141
Isle of Wight,1.0000000,0.0000000000,0.0000000000, -1.3047340,50.69385
Isle of Wight,1.0000000,0.0000000000,0.0000000000, -1.3047340,50.69385
Abingdon,0.9869281,0.0043572985,0.0087145969, -1.2879529,51.67078
Shetland Islands,0.9933775,0.0066225166,0.0000000000, -1.2659409,60.52965
Rugby,1.0000000,0.0000000000,0.0000000000, -1.2650320,52.37088
Oxford,0.9817768,0.0045558087,0.0136674260, -1.2577263,51.75202
Middlesbrough,1.0000000,0.0000000000,0.0000000000, -1.2349560,54.57423
Hartlepool,1.0000000,0.0000000000,0.0000000000, -1.2129260,54.69174
Loughborough,0.9972483,0.0027516625,0.0000000000, -1.2061660,52.77210
Mansfield,0.9969781,0.0030219088,0.0000000000, -1.1986740,53.14720
Nottingham,0.9972274,0.0027726433,0.0000000000, -1.1581086,52.95478
Bicester,0.9845956,0.0038510911,0.0115532734, -1.1535899,51.89960
Leicester,1.0000000,0.0000000000,0.0000000000, -1.1397592,52.63688
Doncaster,1.0000000,0.0000000000,0.0000000000, -1.1284620,53.52282
Worksop,1.0000000,0.0000000000,0.0000000000, -1.1227450,53.30930
