placename,preposition_dropped,preposition_retained,longitude,latitude
Tregaron,0.024187118,0.9758129, -3.9343850,52.22000
Tregaron,0.024187118,0.9758129, -3.9343850,52.22000
Castle Douglas,0.057054143,0.9429459, -3.9314140,54.94042
Dolgellau,0.073242188,0.9267578, -3.8844000,52.74215
Aberfeldy,0.012320329,0.9876797, -3.8669690,56.62175
Machynlleth,0.051569507,0.9484305, -3.8534850,52.59027
Brora,0.008732469,0.9912675, -3.8525480,58.01216
Llandudno,0.397164884,0.6028351, -3.8276090,53.32406
Llandudno,0.397164884,0.6028351, -3.8276090,53.32406
Aviemore,0.012466355,0.9875336, -3.8238120,57.19449
Dalbeattie,0.061455526,0.9385445, -3.8225270,54.93422
Falkirk,0.016031350,0.9839686, -3.7839131,56.00188
Kingsbridge,0.016426212,0.9835738, -3.7774930,50.28395
Pitlochry,0.018640777,0.9813592, -3.7297110,56.70436
Colwyn Bay,0.418136646,0.5818634, -3.7276400,53.29318
Totnes,0.014647543,0.9853525, -3.6857970,50.43374
Grantown-on-Spey,0.009080903,0.9909191, -3.6096280,57.33041
Dumfries,0.061433447,0.9385666, -3.6051200,55.07086
Whitehaven,0.066872428,0.9331276, -3.5892330,54.54970
Dartmouth,0.016671812,0.9833282, -3.5788070,50.35252
Bridgend,0.041144902,0.9588551, -3.5769450,51.50429
Paignton,0.016671812,0.9833282, -3.5642350,50.43508
Workington,0.071428571,0.9285714, -3.5427520,54.64357
Llanidloes,0.044262295,0.9557377, -3.5401950,52.44779
Exeter,0.016895459,0.9831045, -3.5338990,50.71841
Torquay,0.016640986,0.9833590, -3.5253150,50.46192
Thurso,0.005583048,0.9944170, -3.5220800,58.59357
Livingston,0.017551558,0.9824484, -3.5180680,55.90071
Rhyl,0.576985164,0.4230148, -3.4916340,53.31914
Tiverton,0.014243082,0.9857569, -3.4912070,50.90205
Tiverton,0.014243082,0.9857569, -3.4912070,50.90205
Minehead,0.024407381,0.9755926, -3.4811520,51.20428
Dunfermline,0.018971848,0.9810282, -3.4521510,56.07174
Perth,0.018166090,0.9818339, -3.4308381,56.39499
Prestatyn,0.579899884,0.4201001, -3.4076130,53.33651
Builth Wells,0.032112676,0.9678873, -3.4045920,52.15002
Braemar,0.016300631,0.9836994, -3.3979439,57.00647
Brecon,0.035264484,0.9647355, -3.3914630,51.94895
Merthyr Tydfil,0.038383838,0.9616162, -3.3816460,51.74873
Llandrindod Wells,0.033492823,0.9665072, -3.3777420,52.24170
Corwen,0.324485892,0.6755141, -3.3692420,52.98005
Cockermouth,0.071593533,0.9284065, -3.3679850,54.66326
Lockerbie,0.065879428,0.9341206, -3.3490080,55.12224
Blairgowrie,0.018723404,0.9812766, -3.3378318,56.58941
Elgin,0.004628591,0.9953714, -3.3184850,57.64945
Newtown,0.041573087,0.9584269, -3.3131060,52.51211
Ruthin,0.415006516,0.5849935, -3.3103108,53.11487
Ruthin,0.415006516,0.5849935, -3.3103108,53.11487
Sidmouth,0.017801325,0.9821987, -3.2375600,50.67865
Barrow-in-Furness,0.078846395,0.9211536, -3.2188940,54.10897
Peebles,0.017454038,0.9825460, -3.1936420,55.65307
Edinburgh,0.018591152,0.9814088, -3.1882670,55.95325
Cardiff,0.025113200,0.9748868, -3.1790900,51.48158
Llangollen,0.295433364,0.7045666, -3.1716600,52.96921
Kirkcaldy,0.019282815,0.9807172, -3.1581370,56.11682
Welshpool,0.102606623,0.8973934, -3.1464070,52.66035
Mold,0.545448318,0.4545517, -3.1419030,53.16720
Mold,0.545448318,0.4545517, -3.1419030,53.16720
Taunton,0.020213239,0.9797868, -3.1068490,51.01534
Wick,0.004469243,0.9955308, -3.0937160,58.43894
John o' Groats,0.004469243,0.9955308, -3.0688997,58.63734
Dalkeith,0.017658138,0.9823419, -3.0666060,55.89312
Oswestry,0.258195063,0.7418049, -3.0564120,52.85715
Blackpool,0.127855056,0.8721449, -3.0356748,53.81751
Birkenhead,0.590752340,0.4092477, -3.0230090,53.38999
Cupar,0.019529488,0.9804705, -3.0101370,56.32023
Southport,0.239646781,0.7603532, -3.0101130,53.64571
Bridgwater,0.021377092,0.9786229, -3.0036320,51.12789
Langholm,0.061334937,0.9386651, -2.9989130,55.15306
Newport,0.022040816,0.9779592, -2.9976640,51.58415
Axminster,0.022784094,0.9772159, -2.9949370,50.78273
Wrexham,0.390929091,0.6090709, -2.9924940,53.04304
Liverpool,0.592660680,0.4073393, -2.9915726,53.40837
Weston-super-Mare,0.023704221,0.9762958, -2.9772550,51.34741
Dundee,0.016638935,0.9833611, -2.9707210,56.46202
Kirkwall,0.004436796,0.9955632, -2.9622491,58.98467
Ambleside,0.081086349,0.9189137, -2.9613330,54.42874
Orkney Islands,0.004436796,0.9955632, -2.9605206,58.98094
Lyme Regis,0.029398040,0.9706020, -2.9366390,50.72516
Carlisle,0.069781195,0.9302188, -2.9329310,54.89247
Chester,0.471422992,0.5285770, -2.8930750,53.19339
Forfar,0.015473888,0.9845261, -2.8890620,56.64356
Morecambe,0.075979599,0.9240204, -2.8649680,54.07417
Selkirk,0.016452484,0.9835475, -2.8385240,55.55066
Galashiels,0.015961365,0.9840386, -2.8144490,55.62373
Lancaster,0.076445317,0.9235547, -2.8007399,54.04657
St Andrews,0.018989926,0.9810101, -2.7967214,56.33978
Hawick,0.010580145,0.9894199, -2.7809140,55.42706
Bridport,0.039708266,0.9602917, -2.7583010,50.73358
Shrewsbury,0.111451338,0.8885487, -2.7553268,52.70730
Penrith,0.080357143,0.9196429, -2.7527080,54.66410
Kendal,0.068254884,0.9317451, -2.7462900,54.32801
Street,0.014012456,0.9859875, -2.7429190,51.12468
Glastonbury,0.015569395,0.9844306, -2.7184540,51.14743
Hereford,0.014663614,0.9853364, -2.7159740,52.05640
Ludlow,0.036837813,0.9631622, -2.7139129,52.36775
Preston,0.125975384,0.8740246, -2.7030900,53.76320
Whitchurch,0.333029578,0.6669704, -2.6820450,52.96872
Wells,0.019012324,0.9809877, -2.6445979,51.20935
Yeovil,0.039281181,0.9607188, -2.6333080,50.94206
Wigan,0.342124453,0.6578755, -2.6325074,53.54506
Warrington,0.452312139,0.5476879, -2.5969501,53.39004
Arbroath,0.016997167,0.9830028, -2.5915430,56.55911
Bristol,0.021963553,0.9780364, -2.5879100,51.45451
Guernsey,0.023627215,0.9763728, -2.5852780,49.46569
Ross-on-Wye,0.017687819,0.9823122, -2.5824460,51.91445
Jedburgh,0.002624098,0.9973759, -2.5549369,55.47772
Sedbergh,0.065543696,0.9344563, -2.5281740,54.32363
Sedbergh,0.065543696,0.9344563, -2.5281740,54.32363
Nantwich,0.423389005,0.5766110, -2.5241020,53.06719
Banff,0.004432386,0.9955676, -2.5240380,57.66651
Dunbar,0.017292959,0.9827070, -2.5167370,56.00209
Cinderford,0.021245711,0.9787543, -2.5009579,51.82530
Banchory,0.010276906,0.9897231, -2.4909599,57.05386
Blackburn,0.100354047,0.8996460, -2.4875290,53.74858
Market Drayton,0.303099173,0.6969008, -2.4834850,52.90355
Telford,0.065576814,0.9344232, -2.4672611,52.67759
Montrose,0.011960600,0.9880394, -2.4661150,56.70692
Turriff,0.003148955,0.9968510, -2.4623000,57.53893
Weymouth,0.031346510,0.9686535, -2.4576210,50.61443
Crewe,0.414034009,0.5859660, -2.4438209,53.10041
Fortuneswell,0.031346510,0.9686535, -2.4422190,50.55919
Dorchester,0.031312664,0.9686873, -2.4411810,50.71116
Alston,0.025245442,0.9747546, -2.4386850,54.81217
Kelso,0.015765220,0.9842348, -2.4322070,55.60003
Wincanton,0.024038156,0.9759618, -2.4160070,51.05569
Clitheroe,0.115061714,0.8849383, -2.3930830,53.87110
Sark,0.028990337,0.9710097, -2.3666256,49.43007
Bath,0.020501485,0.9794985, -2.3590167,51.38106
Kidderminster,0.049250356,0.9507496, -2.2496839,52.38860
Manchester,0.080171606,0.9198284, -2.2426305,53.48076
Burnley,0.098330525,0.9016695, -2.2405035,53.78929
Gloucester,0.016229686,0.9837703, -2.2381560,51.86424
Newcastle-under-Lyme,0.361065989,0.6389340, -2.2273002,53.01321
Worcester,0.034041498,0.9659585, -2.2215750,52.19364
Trowbridge,0.018901312,0.9810987, -2.2088530,51.31966
Shaftesbury,0.025902901,0.9740971, -2.1980830,51.00460
Alderney,0.026883505,0.9731165, -2.1973557,49.71500
Stoke-on-Trent,0.348784308,0.6512157, -2.1794040,53.00267
Colne,0.097142374,0.9028576, -2.1769910,53.85564
Blandford Forum,0.029328196,0.9706718, -2.1653530,50.85691
Rochdale,0.078425584,0.9215744, -2.1561000,53.60971
Jersey,0.026750330,0.9732497, -2.1312500,49.21444
Wolverhampton,0.119381429,0.8806186, -2.1288200,52.58697
Stafford,0.228261155,0.7717388, -2.1206600,52.80669
Macclesfield,0.091783217,0.9082168, -2.1192870,53.25866
Hexham,0.025602968,0.9743970, -2.1121439,54.97266
Aberdeen,0.009511229,0.9904888, -2.0942780,57.14972
Dudley,0.118290286,0.8817097, -2.0811120,52.51226
Cheltenham,0.016288983,0.9837110, -2.0782533,51.89939
Bromsgrove,0.114396946,0.8856031, -2.0619060,52.33559
Skipton,0.044933517,0.9550665, -2.0162787,53.96285
Fraserburgh,0.007494039,0.9925060, -2.0076310,57.69335
Berwick,0.017842438,0.9821576, -2.0053950,55.77024
Poole,0.019631902,0.9803681, -1.9872480,50.71505
Walsall,0.119202469,0.8807975, -1.9829190,52.58621
Cirencester,0.015375582,0.9846244, -1.9682430,51.71849
Evesham,0.025161849,0.9748382, -1.9467700,52.09215
Buxton,0.080522565,0.9194774, -1.9148300,53.25908
Keighley,0.028466565,0.9715334, -1.9123580,53.86780
Birmingham,0.125500277,0.8744997, -1.8904010,52.48624
Bournemouth,0.020643594,0.9793564, -1.8807690,50.71916
Halifax,0.024340771,0.9756592, -1.8575400,53.72702
Salisbury,0.012078153,0.9879218, -1.7944720,51.06878
Ringwood,0.015817223,0.9841828, -1.7888170,50.84495
Huddersfield,0.025870329,0.9741297, -1.7850351,53.64579
Peterhead,0.009366352,0.9906336, -1.7840660,57.50812
Swindon,0.011520602,0.9884794, -1.7797176,51.55577
Bradford,0.034968987,0.9650310, -1.7593980,53.79598
Ashbourne,0.180586607,0.8194134, -1.7321790,53.01663
Marlborough,0.014295439,0.9857046, -1.7270620,51.42007
Stratford-upon-Avon,0.100534240,0.8994658, -1.7082980,52.19173
Alnwick,0.021067416,0.9789326, -1.7062990,55.41274
Otley,0.030944328,0.9690557, -1.6917860,53.90583
Bishop Auckland,0.071720773,0.9282792, -1.6787880,54.66382
Burton upon Trent,0.085313175,0.9146868, -1.6371359,52.81403
Newcastle,0.025455188,0.9745448, -1.6177800,54.97825
Durham,0.024548244,0.9754518, -1.5848520,54.77525
Ashington,0.023715415,0.9762846, -1.5659829,55.18298
Darlington,0.074952098,0.9250479, -1.5594580,54.52361
Leeds,0.032448296,0.9675517, -1.5490774,53.80076
Harrogate,0.031590962,0.9684090, -1.5418120,53.99212
Leamington Spa,0.116493923,0.8835061, -1.5200789,52.28519
Coventry,0.128193121,0.8718069, -1.5196930,52.40682
Blyth,0.021702324,0.9782977, -1.5102770,55.12696
Wakefield,0.035826844,0.9641732, -1.5059240,53.68330
Andover,0.014339365,0.9856606, -1.4919233,51.21120
Witney,0.017497034,0.9825030, -1.4850544,51.78594
Barnsley,0.031437710,0.9685623, -1.4797260,53.55263
Derby,0.042574257,0.9574257, -1.4746186,52.92253
Sheffield,0.029138752,0.9708612, -1.4700850,53.38113
Nuneaton,0.171608204,0.8283918, -1.4653820,52.52049
Northallerton,0.079139314,0.9208607, -1.4299590,54.33796
South Shields,0.021329212,0.9786708, -1.4274060,54.99942
Chesterfield,0.027943948,0.9720561, -1.4216290,53.23505
Southampton,0.016623469,0.9833765, -1.4043509,50.90970
Wetherby,0.034517445,0.9654826, -1.3848160,53.92706
Sunderland,0.020863518,0.9791365, -1.3838010,54.90687
Rotherham,0.030953606,0.9690464, -1.3635009,53.43260
Castleford,0.036092283,0.9639077, -1.3459680,53.72347
Thirsk,0.048793770,0.9512062, -1.3413770,54.23385
Banbury,0.026587888,0.9734121, -1.3397750,52.06290
Stockton,0.074312241,0.9256878, -1.3289821,54.57046
Newbury,0.015372790,0.9846272, -1.3231139,51.40141
Isle of Wight,0.016816817,0.9831832, -1.3047340,50.69385
Isle of Wight,0.016816817,0.9831832, -1.3047340,50.69385
Abingdon,0.023536084,0.9764639, -1.2879529,51.67078
Shetland Islands,0.004402935,0.9955971, -1.2659409,60.52965
Rugby,0.113669169,0.8863308, -1.2650320,52.37088
Oxford,0.021591295,0.9784087, -1.2577263,51.75202
Middlesbrough,0.069523491,0.9304765, -1.2349560,54.57423
Hartlepool,0.060020729,0.9399793, -1.2129260,54.69174
Loughborough,0.044490383,0.9555096, -1.2061660,52.77210
Mansfield,0.026149906,0.9738501, -1.1986740,53.14720
Nottingham,0.033407202,0.9665928, -1.1581086,52.95478
Bicester,0.015815386,0.9841846, -1.1535899,51.89960
Leicester,0.076790107,0.9232099, -1.1397592,52.63688
Doncaster,0.031997608,0.9680024, -1.1284620,53.52282
Worksop,0.028887434,0.9711126, -1.1227450,53.30930
Basingstoke,0.012269939,0.9877301, -1.0923964,51.26654
Portsmouth,0.018406521,0.9815935, -1.0879769,50.81977
York,0.024866785,0.9751332, -1.0872979,53.95997
Selby,0.027931722,0.9720683, -1.0671890,53.78352
Helmsley,0.047780563,0.9522194, -1.0562636,54.24651
Towcester,0.014426545,0.9855735, -0.9896880,52.13511
Reading,0.017089591,0.9829104, -0.9781303,51.45426
Retford,0.022175537,0.9778245, -0.9455030,53.32136
Petersfield,0.018958455,0.9810415, -0.9389900,51.00759
Northampton,0.010685836,0.9893142, -0.9026560,52.24048
Melton Mowbray,0.036837166,0.9631628, -0.8871260,52.76640
Aylesbury,0.019189525,0.9808105, -0.8084000,51.81561
Newark-on-Trent,0.025717153,0.9742828, -0.8065700,53.07004
Malton,0.024376731,0.9756233, -0.7978970,54.13684
Chichester,0.021891892,0.9781081, -0.7749360,50.83761
Gainsborough,0.026503568,0.9734964, -0.7744650,53.40058
Milton Keynes,0.020138468,0.9798615, -0.7594171,52.04062
Aldershot,0.013469577,0.9865304, -0.7557509,51.24837
High Wycombe,0.016235719,0.9837643, -0.7482290,51.62861
Midhurst,0.020901951,0.9790980, -0.7372740,50.98690
Kettering,0.021477016,0.9785230, -0.7302490,52.39632
Wellingborough,0.014083681,0.9859163, -0.6939640,52.30242
Corby,0.017504052,0.9824959, -0.6842333,52.49230
Bognor Regis,0.020779682,0.9792203, -0.6730610,50.78300
Scunthorpe,0.023328149,0.9766719, -0.6544130,53.58865
Grantham,0.027263590,0.9727364, -0.6435820,52.91252
Whitby,0.078937477,0.9210625, -0.6133470,54.48633
Slough,0.028203343,0.9717967, -0.5950406,51.51054
Guildford,0.019118718,0.9808813, -0.5704090,51.23622
Woking,0.021960364,0.9780396, -0.5600349,51.31677
Lincoln,0.019522777,0.9804772, -0.5405790,53.23069
Bedford,0.025774202,0.9742258, -0.4667782,52.13864
Heathrow,0.025204681,0.9747953, -0.4542955,51.47002
Driffield,0.024554455,0.9754455, -0.4433770,54.00600
Beverley,0.015729682,0.9842703, -0.4350930,53.84196
Luton,0.023704009,0.9762960, -0.4200255,51.87867
Scarborough,0.024033045,0.9759670, -0.3997520,54.28311
Worthing,0.016637090,0.9833629, -0.3728820,50.81787
Dorking,0.023973083,0.9760269, -0.3323780,51.23220
Hull,0.017172295,0.9828277, -0.3274198,53.76762
Horsham,0.018944795,0.9810552, -0.3258580,51.06288
Biggleswade,0.039973351,0.9600266, -0.2642200,52.08694
Peterborough,0.019847328,0.9801527, -0.2405299,52.56950
Welwyn Garden City,0.022185620,0.9778144, -0.2086610,51.80317
Bridlington,0.021731257,0.9782687, -0.1988020,54.08535
Stevenage,0.022476721,0.9775233, -0.1966120,51.90376
Crawley,0.019025656,0.9809743, -0.1872275,51.10914
Huntingdon,0.023413641,0.9765864, -0.1825520,52.33146
Hove,0.014486392,0.9855136, -0.1687490,50.82793
Spalding,0.014405762,0.9855942, -0.1537024,52.79010
Brighton,0.014486392,0.9855136, -0.1371630,50.82253
London,0.025596165,0.9744038, -0.1277583,51.50735
Grimsby,0.020493610,0.9795064, -0.0807840,53.56747
Boston,0.021338506,0.9786615, -0.0265770,52.97894
Royston,0.017642143,0.9823579, -0.0240660,52.04814
Louth,0.020261438,0.9797386, -0.0077110,53.36596
Lewes,0.013853613,0.9861464,  0.0087800,50.87387
Chatteris,0.022350152,0.9776498,  0.0540120,52.45610
Uckfield,0.014244658,0.9857553,  0.0959130,50.96641
Cambridge,0.021632252,0.9783677,  0.1218170,52.20534
Bishop's Stortford,0.015722093,0.9842779,  0.1536502,51.87216
Wisbech,0.020368574,0.9796314,  0.1587970,52.66632
Sevenoaks,0.015832166,0.9841678,  0.1908980,51.27241
Tunbridge Wells,0.014265113,0.9857349,  0.2636950,51.13238
Eastbourne,0.013686478,0.9863135,  0.2904720,50.76803
Brentwood,0.025471945,0.9745281,  0.3071749,51.62047
Skegness,0.016195618,0.9838044,  0.3378810,53.14640
Downham Market,0.017032551,0.9829674,  0.3854720,52.60661
King's Lynn,0.019430052,0.9805699,  0.4022963,52.75168
Bexhill,0.012978750,0.9870212,  0.4662071,50.84991
Chelmsford,0.020777824,0.9792222,  0.4685497,51.73559
Mildenhall,0.014500537,0.9854995,  0.5156095,52.34757
Medway,0.018201989,0.9817980,  0.5417861,51.40474
Braintree,0.015376355,0.9846236,  0.5509269,51.88009
Gillingham,0.018146070,0.9818539,  0.5514380,51.38632
Hastings,0.010923933,0.9890761,  0.5734530,50.85426
Maldon,0.019192959,0.9808070,  0.6714480,51.73181
Southend,0.020368116,0.9796319,  0.7077123,51.54593
Bury St Edmunds,0.011970738,0.9880293,  0.7104932,52.24292
Thetford,0.019736842,0.9802632,  0.7516570,52.41286
Ashford,0.010013158,0.9899868,  0.8750190,51.14647
Faversham,0.015517032,0.9844830,  0.8893580,51.31599
Colchester,0.009641136,0.9903589,  0.8918740,51.89593
New Romney,0.009623986,0.9903760,  0.9394730,50.98512
Canterbury,0.019583428,0.9804166,  1.0789089,51.28023
Ipswich,0.014162077,0.9858379,  1.1482200,52.05674
Clacton,0.015014013,0.9849860,  1.1530350,51.78953
Folkestone,0.014927637,0.9850724,  1.1694560,51.08140
Sheringham,0.021296296,0.9787037,  1.2109589,52.94442
Harwich,0.012441093,0.9875589,  1.2602970,51.93473
Norwich,0.017086331,0.9829137,  1.2973550,52.63089
Cromer,0.021256932,0.9787431,  1.3018660,52.93145
Dover,0.018435708,0.9815643,  1.3134027,51.12788
Felixstowe,0.012347989,0.9876520,  1.3512550,51.96173
Margate,0.030537749,0.9694623,  1.3868339,51.38965
Ramsgate,0.030456402,0.9695436,  1.4198950,51.33555
Great Yarmouth,0.016267123,0.9837329,  1.7280470,52.59823
Lowestoft,0.015789474,0.9842105,  1.7534490,52.48114
Swaffham,0.018849206,0.9811508,  0.6874810,52.64747
